rust_file,line,claimed_category,full_block,signal_related,notes,revalidation_result,corrected_category
crates/emcore/src/emImageFile.rs,69,language-forced,"    /// DIVERGED: (language-forced) C++ creates file models via `emModel::Acquire(context, name)`,
    /// a context-registered, path-keyed shared-instance pattern backed by virtual inheritance
    /// (`emModel : emEngine`, `emFileModel : emModel`). Rust has no virtual base-class
    /// inheritance; the `emModel` context-registry infrastructure is not yet ported, so
    /// callers receive an explicit `Rc<RefCell<Self>>` and manage sharing themselves.
    /// The observable loading contract — async engine fires on schedule, signals on completion —
    /// is preserved.",true,,verified,
crates/emfileman/src/emDirEntryPanel.rs,314,language-forced,"    /// DIVERGED: (language-forced) C++ walks sibling panels via parent panel tree traversal.
    /// Rust accesses the emDirModel directly to enumerate entries in display
    /// order, since panel tree parent traversal is not available.",false,,,
crates/emfileman/src/emDirEntryPanel.rs,419,upstream-gap-forced,"    /// DIVERGED: (upstream-gap-forced) Linux-only port; Windows attribute
    /// branch (emDirEntryPanel.cpp:642-648), the Windows
    /// `IsDrive`/`IsDirectory` guards around the Size and Time fields
    /// (cpp:686-688, 707-709, 711-713, 722-724), and the Windows drive-type
    /// extension of the Type field (cpp:611-626) are intentionally omitted.
    /// The C++ source gates these on `#if defined(_WIN32)`, which is never
    /// defined for our Linux-only target build, so the corresponding code
    /// path is an upstream no-op for this configuration.",false,,,
crates/emfileman/src/emDirPanel.rs,117,language-forced,"/// DIVERGED: (language-forced) C++ emDirPanel connects emDirModel as a FileModelState via
/// SetFileModel. Rust drives loading directly in Cycle using
/// `get_file_state()` to query the model's phase, because emDirModel does
/// not implement FileModelState — it wraps emDirModelData directly without
/// scheduler integration.",true,,failed,
crates/emfileman/src/emDirPanel.rs,272,language-forced,"                // DIVERGED: (language-forced) C++ uses View.Visit() from Input handler. Rust queues
                // navigation via PanelCtx::request_visit, drained by emView each frame.",false,,,
crates/emfileman/src/emFileLinkPanel.rs,299,language-forced,"    /// DIVERGED: (language-forced) C++ calls UpdateDataAndChildPanel from Cycle() and Notice().
    /// Rust defers to LayoutChildren() for borrow safety — the RefCell holding
    /// the panel cannot be borrowed mutably while also creating/deleting child
    /// panels. The timing difference is at most one frame. This matches the
    /// established pattern in emDirEntryPanel.",true,,verified,
crates/emfileman/src/emFileManControlPanel.rs,43,language-forced,"/// DIVERGED: (language-forced) C++ uses emLinearLayout composition with emPackGroup/
/// emRasterLayout for widget tree. Rust uses manual painting with
/// computed y offsets — widgets are painted directly rather than
/// composed as child panels in a layout tree.",false,,,
crates/emfileman/src/emFileManControlPanel.rs,245,language-forced,"    /// DIVERGED: (language-forced) C++ SelectAll finds active DirPanel by walking from
    /// content_view's focused panel. Rust receives the dir_path from the
    /// creating DirPanel and accesses the emDirModel directly.",false,,,
crates/emfileman/src/emFileManSelInfoPanel.rs,222,language-forced,"    /// DIVERGED: (language-forced) C++ name is ResetDetails (private). Renamed to
    /// reset_details with pub(crate) visibility for test access.",false,,,
crates/emmain/src/emAutoplay.rs,24,language-forced,"// DIVERGED: (language-forced) C++ `emAutoplayConfig` is a single class; Rust splits the record data into
// `emAutoplayConfigRec` and the model wrapper into `emAutoplayConfig` (one primary type per file).",false,,,
